S_MW,W_MW,Baseload_MW,DailyAvgProd_MW,DailyErrorPct
35.0,165.0,187551.47048740496,48551.571995148406,-0.7411293450860525
35.0,170.0,187520.06663871213,48636.92722031963,-0.7406308130530554
35.0,175.0,187488.90260635957,48722.28244549086,-0.7401324464105205
35.0,180.0,187458.23151346552,48807.637670662094,-0.7396345987230968
35.0,185.0,187427.80342285335,48892.99289583334,-0.7391369263100923
35.0,190.0,187397.4424404591,48978.348121004565,-0.7386391858759427
35.0,195.0,187367.08145806997,49063.7033461758,-0.7381412841339714
35.0,200.0,187336.7971794377,49149.05857134703,-0.7376433284259133
40.0,0.0,215682.1230000013,52268.3995022831,-0.7576600286789518
40.0,5.0,215643.34401602793,52353.75472745434,-0.7572206322140734
40.0,10.0,215604.8402877539,52439.10995262557,-0.756781388197786
40.0,15.0,215566.56098403348,52524.4651777968,-0.7563422409392745
40.0,20.0,215528.5033157171,52609.82040296804,-0.7559031887030622
40.0,25.0,215490.74631224453,52695.175628139266,-0.7554643225756695
40.0,30.0,215453.40462601112,52780.530853310505,-0.7550257748540657
40.0,35.0,215416.26450842436,52865.88607848173,-0.7545873047277992
40.0,40.0,215379.1243908352,52951.241303652976,-0.7541486833813772
40.0,45.0,215342.00947611002,53036.5965288242,-0.7537099395614766
40.0,50.0,215304.98285800958,53121.951753995425,-0.7532711456611825
40.0,55.0,215268.32631534585,53207.30697916666,-0.7528326257285828
40.0,60.0,215231.84001206185,53292.6622043379,-0.7523941522715629
40.0,65.0,215195.53970821926,53378.017429509135,-0.7519557445201528
40.0,70.0,215159.32515307356,53463.37265468037,-0.7515172878672852
40.0,75.0,215123.25961582016,53548.72787985159,-0.7510788560219751
40.0,80.0,215087.2236048083,53634.08310502283,-0.7506403113763387
40.0,85.0,215051.33302366835,53719.43833019407,-0.7502017886851148
40.0,90.0,215015.55683821658,53804.79355536529,-0.7497632527312922
40.0,95.0,214979.7951241669,53890.14878053653,-0.7493245876924809
40.0,100.0,214944.12751462686,53975.50400570775,-0.7488858866263526
40.0,105.0,214908.4797656247,54060.859230878996,-0.7484470631878426
40.0,110.0,214872.8402609564,54146.214456050235,-0.7480081038148362
40.0,115.0,214837.44347380902,54231.56968122146,-0.7475692839929327
40.0,120.0,214802.31404238605,54316.92490639269,-0.7471306342832296
40.0,125.0,214767.21785397534,54402.28013156392,-0.7466918802824314
40.0,130.0,214732.20922949578,54487.63535673516,-0.7462530863336795
40.0,135.0,214697.44992776948,54572.99058190639,-0.7458144444646811
40.0,140.0,214663.11185920922,54658.345807077625,-0.7453761601903623
40.0,145.0,214628.9945739162,54743.701032248864,-0.7449379980513507
40.0,150.0,214595.40310827017,54829.05625742009,-0.7445003226385186
